/Graph
Time (s),Sphere_pos_x (m),Sphere_pos_z (m)
0.05000,-1.3000e+00,+4.8651e-01
0.10000,-1.1827e+00,+7.6433e-01
0.15000,-1.1106e+00,+9.0477e-01
0.20000,-1.0598e+00,+9.7303e-01
0.25000,-1.0161e+00,+1.0042e+00
0.30000,-9.7549e-01,+1.0074e+00
0.35000,-9.3677e-01,+9.8539e-01
0.40000,-8.9966e-01,+9.3927e-01
0.45000,-8.6445e-01,+8.7048e-01
0.50000,-8.3161e-01,+7.8114e-01
0.55000,-8.0158e-01,+6.7401e-01
0.60000,-7.7465e-01,+5.5228e-01
0.65000,-7.5092e-01,+4.1912e-01
0.70000,-7.3031e-01,+2.7741e-01
0.75000,-7.1264e-01,+1.2957e-01
0.80000,-6.9929e-01,+4.7539e-02
0.85000,-6.9016e-01,+5.9089e-02
0.90000,-6.8159e-01,+4.8954e-02
0.95000,-6.7255e-01,+4.9888e-02
1.00000,-6.6359e-01,+4.9988e-02
1.05000,-6.5468e-01,+4.9999e-02
1.10000,-6.4582e-01,+5.0000e-02
1.15000,-6.3702e-01,+5.0000e-02
1.20000,-6.2827e-01,+4.9900e-02
1.25000,-6.1957e-01,+4.9989e-02
1.30000,-6.1093e-01,+4.9999e-02
1.35000,-6.0233e-01,+5.0000e-02
1.40000,-5.9379e-01,+5.0000e-02
1.45000,-5.8530e-01,+5.0000e-02
1.50000,-5.7686e-01,+4.9755e-02
1.55000,-5.6846e-01,+4.9974e-02
1.60000,-5.6011e-01,+4.9997e-02
1.65000,-5.5182e-01,+5.0000e-02
1.70000,-5.4357e-01,+5.0000e-02
1.75000,-5.3536e-01,+4.9755e-02
1.80000,-5.2720e-01,+4.9974e-02
1.85000,-5.1909e-01,+4.9997e-02
1.90000,-5.1102e-01,+5.0000e-02
1.95000,-5.0300e-01,+5.0000e-02
2.00000,-4.9502e-01,+5.0000e-02
2.05000,-4.8709e-01,+5.0000e-02
2.10000,-4.7919e-01,+5.0000e-02
2.15000,-4.7135e-01,+4.9875e-02
2.20000,-4.6354e-01,+4.9987e-02
2.25000,-4.5577e-01,+4.9999e-02
2.30000,-4.4805e-01,+5.0000e-02
2.35000,-4.4037e-01,+5.0000e-02
2.40000,-4.3273e-01,+5.0000e-02
2.45000,-4.2512e-01,+4.9843e-02
2.50000,-4.1756e-01,+4.9983e-02
2.55000,-4.1004e-01,+4.9998e-02
2.60000,-4.0255e-01,+5.0000e-02
2.65000,-3.9511e-01,+5.0000e-02
2.70000,-3.8770e-01,+5.0000e-02
2.75000,-3.8033e-01,+4.9920e-02
2.80000,-3.7300e-01,+4.9991e-02
2.85000,-3.6570e-01,+4.9999e-02
2.90000,-3.5844e-01,+5.0000e-02
2.95000,-3.5122e-01,+5.0000e-02
3.00000,-3.4403e-01,+4.9920e-02
3.05000,-3.3687e-01,+4.9991e-02
3.10000,-3.2976e-01,+4.9999e-02
3.15000,-3.2267e-01,+5.0000e-02
3.20000,-3.1563e-01,+5.0000e-02
3.25000,-3.0861e-01,+5.0000e-02
3.30000,-3.0163e-01,+4.9967e-02
3.35000,-2.9468e-01,+4.9997e-02
3.40000,-2.8777e-01,+5.0000e-02
3.45000,-2.8089e-01,+5.0000e-02
3.50000,-2.7404e-01,+5.0000e-02
3.55000,-2.6722e-01,+5.0000e-02
3.60000,-2.6044e-01,+5.0000e-02
3.65000,-2.5369e-01,+4.9920e-02
3.70000,-2.4696e-01,+4.9991e-02
3.75000,-2.4027e-01,+4.9999e-02
3.80000,-2.3361e-01,+5.0000e-02
3.85000,-2.2698e-01,+4.9755e-02
3.90000,-2.2038e-01,+4.9974e-02
3.95000,-2.1381e-01,+4.9997e-02
4.00000,-2.0727e-01,+5.0000e-02
4.05000,-2.0076e-01,+5.0000e-02
4.10000,-1.9428e-01,+5.0000e-02
4.15000,-1.8783e-01,+4.9959e-02
4.20000,-1.8140e-01,+4.9996e-02
4.25000,-1.7501e-01,+5.0000e-02
4.30000,-1.6864e-01,+5.0000e-02
4.35000,-1.6230e-01,+5.0000e-02
4.40000,-1.5599e-01,+4.9959e-02
4.45000,-1.4970e-01,+4.9996e-02
4.50000,-1.4344e-01,+5.0000e-02
4.55000,-1.3721e-01,+5.0000e-02
4.60000,-1.3100e-01,+5.0000e-02
4.65000,-1.2483e-01,+5.0000e-02
4.70000,-1.1867e-01,+4.9959e-02
4.75000,-1.1255e-01,+4.9996e-02
4.80000,-1.0645e-01,+5.0000e-02
4.85000,-1.0037e-01,+5.0000e-02
4.90000,-9.4322e-02,+5.0000e-02
4.95000,-8.8297e-02,+4.9804e-02
5.00000,-8.2297e-02,+4.9979e-02
5.05000,-7.6322e-02,+4.9998e-02
5.10000,-7.0371e-02,+5.0000e-02
5.15000,-6.4445e-02,+5.0000e-02
5.20000,-5.8542e-02,+5.0000e-02
5.25000,-5.2664e-02,+4.9959e-02
5.30000,-4.6809e-02,+4.9996e-02
5.35000,-4.0978e-02,+5.0000e-02
5.40000,-3.5170e-02,+5.0000e-02
5.45000,-2.9385e-02,+5.0000e-02
5.50000,-2.3623e-02,+5.0000e-02
5.55000,-1.7884e-02,+5.0000e-02
5.60000,-1.2167e-02,+5.0000e-02
5.65000,-6.4727e-03,+4.9755e-02
5.70000,-8.0069e-04,+4.9974e-02
5.75000,+4.8493e-03,+4.9997e-02
5.80000,+1.0477e-02,+5.0000e-02
5.85000,+1.6084e-02,+5.0000e-02

